id;date;delivery_address;user_id;status;expected_delivery_date;delivery_date
1;2024-01-27T01:03:53;monitor;90598;ANNULE;2024-01-26;2024-01-27
2;2024-01-26T13:25:38;Peso Handcrafted;92349;ANNULE;2024-01-27;2024-01-27
3;2024-01-27T02:01:07;Buckinghamshire Technicien;29939;EN_COURS_TRAITEMENT;2024-01-26;2024-01-26
4;2024-01-27T04:01:18;Outdoors Investment synergize;89808;LIVRE;2024-01-26;2024-01-26
5;2024-01-27T01:14:38;online mindshare;14754;EN_COURS_LIVRAISON;2024-01-26;2024-01-26
6;2024-01-26T14:32:16;multi-tasking Jewelery;12713;EN_COURS_LIVRAISON;2024-01-26;2024-01-27
7;2024-01-26T20:29:31;a;59271;ANNULE;2024-01-27;2024-01-26
8;2024-01-27T01:51:19;Bedfordshire;48932;EN_COURS_LIVRAISON;2024-01-27;2024-01-27
9;2024-01-27T05:50:55;proactive Practical impactful;73672;EN_COURS_TRAITEMENT;2024-01-26;2024-01-26
10;2024-01-26T14:49:09;Cambridgeshire;15935;EN_COURS_LIVRAISON;2024-01-27;2024-01-27
